seed,stimulus,P026,P088,P4026A,P902,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
740673864,JMP,6,6,5,2,6,5,7,6,6,6,6,6,7,7,7,6,6,6,5,6,2,2,4,2,3,2,4,2,4,2,4,3
234187413,JMP,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,4,1,5,2,5,1,5,1,5,5
114908223,JMP,6,6,5,2,6,4,6,5,6,5,7,6,5,6,5,6,6,6,4,5,5,5,3,2,4,2,3,2,4,2,4,3
723167296,JMP,5,6,5,2,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,4,5,4,2,4,4,4,2,3,3,4,2
2037354499,JMP,6,6,6,5,5,6,5,6,5,5,5,6,6,6,7,7,6,6,6,6,7,6,4,3,4,4,4,3,4,4,4,5
1614260584,JMP,4,5,6,2,5,5,6,5,6,6,6,6,5,5,5,5,6,4,5,6,4,5,3,2,4,2,4,2,3,3,4,2
1694026086,JMP,4,6,6,2,6,5,6,6,7,7,6,6,5,7,6,5,7,5,3,4,2,3,4,2,4,1,5,1,3,1,3,2
578396068,JMP,3,5,6,2,6,6,7,6,7,6,6,6,5,7,6,4,6,6,5,7,4,5,4,3,4,2,4,3,4,2,5,2
1470176034,JMP,6,7,7,2,7,5,7,6,6,6,7,6,6,7,7,6,7,7,7,6,6,6,4,1,1,4,4,1,5,5,5,4
892211894,JMP,6,7,6,2,7,7,6,7,6,7,7,7,7,6,7,6,6,7,6,6,7,6,5,1,5,2,4,1,4,1,4,4
617056828,JMP,3,4,4,2,6,5,4,7,5,6,5,5,6,6,4,2,5,3,4,6,3,5,4,3,2,3,3,3,1,3,2,4
1087705069,JMP,5,5,4,2,5,6,5,6,6,6,5,5,5,6,5,5,6,5,6,5,5,4,4,2,4,3,4,2,4,3,3,3
1763030848,JMP,4,7,5,2,4,4,5,5,7,7,7,6,4,7,7,6,5,6,3,3,3,4,5,1,5,1,4,2,3,3,5,3
1053269030,JMP,5,6,6,2,7,7,7,7,7,7,6,7,7,7,6,6,7,6,5,6,5,5,4,1,4,1,4,1,4,1,5,3
382762375,JMP,7,6,6,2,6,6,7,5,6,6,7,6,6,6,7,6,7,6,5,5,4,6,4,1,4,5,4,1,3,1,4,4
1090423504,JMP,6,6,6,2,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,1,4,2,4,2,4,2,4,2,4,2
251594679,JMP,5,5,6,2,6,4,5,7,5,6,6,5,5,5,6,5,5,4,4,5,3,3,3,3,4,4,4,2,3,2,4,5
1173204791,JMP,7,6,6,2,3,7,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,3,4,2,4,5,5,2
931819519,JMP,6,6,6,2,6,6,6,6,6,6,6,6,6,6,7,4,7,5,7,7,7,7,4,2,4,4,4,2,4,2,4,3
1284712706,Excel,3,3,3,2,6,7,6,5,5,6,5,5,4,6,3,2,3,3,2,1,4,2,1,4,2,3,4,2,3,4,4,2
1657385912,Excel,7,6,5,2,7,4,5,6,7,7,7,5,6,7,6,5,7,3,4,3,4,3,4,2,4,4,2,3,5,3,4,5
1537520580,Excel,7,7,6,2,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,5,1,5,3,5,1,4,1,5,3
799717003,Excel,6,6,6,2,6,6,7,7,7,6,7,7,6,7,7,7,6,6,5,5,4,3,4,2,4,1,3,2,3,1,3,2
1950584027,Excel,5,5,6,2,6,6,7,7,6,7,6,6,6,6,6,5,6,6,4,4,2,4,5,3,4,4,4,3,3,3,4,2
2144449168,Excel,5,6,6,2,5,5,3,5,5,5,6,6,4,6,5,7,6,6,5,5,6,5,4,2,4,2,3,2,4,2,4,3
2129304939,Excel,6,6,6,2,7,4,6,7,6,7,6,6,2,7,6,4,7,4,3,3,5,5,4,2,4,2,4,1,3,2,4,3
